MLS#,Stat,ClosedDate,YearClosed,SoldPr,Type,YearBuilt,Street#,StrName,Locale,Zip,Area,Rooms,FullBaths,HalfBaths,BsmtBth,Beds,BsmtBeds,GarageType,GarageSpaces,ParkingSpaces
10150557,CLSD,1/25/2019,2019,161000,Condo,1976,4900,Foster,76,60077,1000,4,1,0,No,1,0,Attached,1,0
10149868,CLSD,2/28/2019,2019,195000,Condo,1970,8225,Niles Center,76,60077,1586,6,2,0,No,3,0,Attached,1,0
10140986,CLSD,2/1/2019,2019,229000,Condo,1997,5000,OAKTON,76,60077,1450,5,2,0,No,2,0,Attached,1,0
10135506,CLSD,1/7/2019,2019,275000,Condo,2006,9655,Woods,76,60077,1514,5,2,0,No,2,0,Attached,1,0
10128619,CLSD,11/14/2018,2018,180000,Condo,2004,5155,MADISON,76,60077,978,3,1,0,No,1,0,Attached,1,0
10110826,CLSD,11/9/2018,2018,127500,Condo,1972,4840,Foster,76,60077,1000,4,1,0,No,1,0,Attached,1,0
10098030,CLSD,10/18/2018,2018,140000,Condo,1975,9530,Lamon,76,60077,1000,5,1,0,No,1,0,Attached,1,0
10080740,CLSD,11/19/2018,2018,155000,Condo,2000,7450,Lincoln,76,60076,972,4,1,0,No,1,0,Attached,1,0
10079918,CLSD,12/12/2018,2018,225000,Condo,2000,7450,Lincoln,76,60076,1400,5,2,0,No,2,0,Attached,1,0
10079224,CLSD,2/13/2019,2019,230000,Condo,1975,9240,Gross Point,76,60077,1500,5,2,0,No,2,0,Attached,1,0
10069457,CLSD,9/27/2018,2018,262950,Condo,2006,9655,Woods,76,60077,1270,5,2,0,No,2,0,Attached,1,0
10057337,CLSD,10/29/2018,2018,266500,Condo,2006,9350,SKOKIE,76,60077,1536,5,2,0,No,2,0,Attached,1,0
10052706,CLSD,11/15/2018,2018,273000,Condo,2006,4953,Oakton,76,60077,1703,5,2,0,No,2,0,Attached,1,0
10047528,CLSD,8/24/2018,2018,260000,Condo,2005,4953,Oakton,76,60077,1610,6,2,0,No,2,0,Attached,1,0
10045003,CLSD,12/7/2018,2018,216000,Condo,1989,4747,Howard,76,60076,1500,5,2,0,No,2,0,Attached,1,0
10038110,CLSD,11/9/2018,2018,175000,Condo,1978,9801,Gross Point,76,60076,1465,5,2,0,No,2,0,Attached,2,0
10026782,CLSD,9/12/2018,2018,255000,Condo,2000,7450,LINCOLN,76,60076,1400,5,2,0,No,2,0,Attached,1,0
10022660,CLSD,10/25/2018,2018,245000,Condo,2005,5155,Madison,76,60077,1248,5,2,0,No,2,0,Attached,1,0
10021092,CLSD,12/28/2018,2018,465000,Condo,2006,9655,WOODS,76,60077,2150,8,2,1,No,3,0,Attached,2,0
10019426,CLSD,8/28/2018,2018,249900,Condo,1990,4757,HOWARD,76,60076,1900,6,2,0,No,2,0,Attached,1,0
10010479,CLSD,9/4/2018,2018,194000,Condo,1974,9529,Bronx,76,60077,1300,5,2,0,No,2,0,Attached,1,0
10008374,CLSD,11/1/2018,2018,277500,Condo,2005,5155,Madison,76,60077,1300,5,2,0,No,2,0,Attached,2,0
10007874,CLSD,8/10/2018,2018,299500,Condo,1978,9560,Gross Point,76,60076,1900,6,2,0,No,3,0,Attached,2,0
9999349,CLSD,8/24/2018,2018,135000,Condo,1975,9530,Lamon,76,60077,1000,4,1,0,No,1,0,Attached,1,0
9994300,CLSD,8/20/2018,2018,189000,Condo,1975,9530,Lamon,76,60077,1350,5,2,0,No,2,0,Attached,1,0
9992790,CLSD,7/13/2018,2018,160000,Condo,1976,4900,Foster,76,60077,1000,4,1,0,No,1,0,Attached,1,0
9990815,CLSD,11/20/2018,2018,245000,Condo,2008,9715,Woods,76,60077,1142,5,2,0,No,2,0,Attached,1,0
9986374,CLSD,7/30/2018,2018,182000,Condo,1978,9558,Gross Point,76,60076,1465,5,2,0,No,2,0,Attached,2,0
9982079,CLSD,10/19/2018,2018,250000,Condo,2006,9655,Woods,76,60077,1142,5,2,0,No,2,0,Attached,1,0
