MLS #,YearClosed,SoldPr,SFH,Condo,Duplex,Townhouse,YearBuilt,New,Recent,20A,19A,19B,19C,19D,Pre1900,Area,Rooms,FullBaths,HalfBaths,BsmtBth,Beds,BsmtBeds,AttachedGarage,GarageSpaces,ParkingSpaces,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Stat,recent,new
10262577,2019,84549.046875,0,1,0,0,1970,0,,0,0,1,0,0,0,600,4,1,0,0,1,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10425394,2019,86151.25,0,1,0,0,1972,0,,0,0,1,0,0,0,790,4,1,0,0,1,0,0,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10472558,2019,110315.62499999999,0,1,0,0,1979,0,,0,1,0,0,0,0,950,4,1,0,0,1,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10394403,2019,110420.68749999999,0,1,0,0,1979,0,,0,1,0,0,0,0,950,4,1,0,0,1,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10670537,2020,110187.49999999999,0,1,0,0,1978,0,,0,1,0,0,0,0,1000,4,1,0,0,1,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10596338,2020,110187.49999999999,0,1,0,0,1981,0,,0,1,0,0,0,0,860,4,1,0,0,1,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10645161,2020,110699.99999999999,0,1,0,0,1979,0,,0,1,0,0,0,0,650,4,1,0,0,1,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10757470,2020,114799.99999999999,0,1,0,0,1972,0,,0,0,1,0,0,0,805,4,1,0,0,1,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10169456,2019,118720.62499999999,0,1,0,0,1965,0,,0,0,1,0,0,0,900,4,1,0,0,1,0,0,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10267300,2019,119771.24999999999,0,1,0,0,1972,0,,0,0,1,0,0,0,780,4,1,0,0,1,0,0,0,26.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10321841,2020,117874.99999999999,0,1,0,0,1974,0,,0,0,1,0,0,0,1200,6,2,0,0,3,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10940495,2020,119924.99999999999,0,1,0,0,1976,0,,0,1,0,0,0,0,1300,5,2,0,0,2,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10497031,2019,122923.12499999999,0,1,0,0,1977,0,,0,1,0,0,0,0,950,5,1,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10729561,2020,120437.49999999999,0,1,0,0,1979,0,,0,1,0,0,0,0,900,5,1,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10882384,2020,122897.49999999999,0,1,0,0,1981,0,,0,1,0,0,0,0,1000,4,1,0,0,1,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10517634,2019,126074.99999999999,0,1,0,0,1977,0,,0,1,0,0,0,0,850,4,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CLSD,0.0,
10475246,2019,126074.99999999999,0,1,0,0,1974,0,,0,0,1,0,0,0,900,4,1,0,0,1,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10018004,2019,129226.87499999999,0,1,0,0,1979,0,,0,1,0,0,0,0,1150,5,1,0,0,2,0,0,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10728428,2020,126587.49999999999,0,1,0,0,1979,0,,0,1,0,0,0,0,1100,5,1,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10857840,2020,128124.99999999999,0,1,0,0,1987,0,,0,1,0,0,0,0,990,5,1,0,0,2,0,0,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10462823,2019,131328.125,0,1,0,0,1977,0,,0,1,0,0,0,0,1000,5,1,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10689700,2020,130174.99999999999,0,1,0,0,1980,0,,0,1,0,0,0,0,1100,5,2,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10862876,2020,131200.0,0,1,0,0,1979,0,,0,1,0,0,0,0,950,4,1,0,0,1,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10782578,2020,131200.0,0,1,0,0,1965,0,,0,0,1,0,0,0,800,4,1,0,0,1,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10513508,2019,139733.125,0,1,0,0,1972,0,,0,0,1,0,0,0,950,5,1,0,0,2,0,0,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10452025,2019,141834.375,0,1,0,0,1977,0,,0,1,0,0,0,0,850,5,1,0,0,1,0,0,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10813536,2020,138375.0,0,1,0,0,1982,0,,0,1,0,0,0,0,1100,5,2,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10628607,2020,142475.0,0,1,0,0,1981,0,,0,1,0,0,0,0,1000,5,1,0,0,2,0,0,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10636562,2020,143500.0,0,1,0,0,1975,0,,0,1,0,0,0,0,950,5,1,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10481231,2019,147087.5,0,1,0,0,1974,0,,0,0,1,0,0,0,1535,5,2,0,0,2,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10363043,2019,147087.5,0,1,0,0,1968,0,,0,0,1,0,0,0,750,4,1,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10707529,2020,143500.0,0,1,0,0,1976,0,,0,1,0,0,0,0,1200,5,2,0,0,2,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10513550,2019,148138.125,0,1,0,0,1996,0,,0,1,0,0,0,0,760,3,1,0,0,1,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10525047,2019,149188.75,0,1,0,0,1975,0,,0,1,0,0,0,0,1000,5,1,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10750722,2020,145806.25,0,1,0,0,1967,0,,0,0,1,0,0,0,800,5,1,0,0,2,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10132747,2019,150010.33875,0,1,0,0,1975,0,,0,1,0,0,0,0,900,5,1,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10573138,2019,152340.625,0,1,0,0,1968,0,,0,0,1,0,0,0,875,5,1,0,0,2,0,0,2.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10851739,2020,148625.0,0,1,0,0,1978,0,,0,1,0,0,0,0,1000,4,1,0,0,1,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10764869,2020,148625.0,0,1,0,0,1982,0,,0,1,0,0,0,0,1000,5,1,0,0,2,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
