SoldPr,SFH,Condo,Duplex,Townhouse,New,Recent,20A,19A,19B,19C,19D,Pre1900,Area,Rooms,FullBaths,HalfBaths,BsmtBth,Beds,BsmtBeds,GarageSpaces,60002,60025,60026,60029,60035,60053,60062,60067,60076,60077,60091,60201,60202,60203,60625,60626,60638,63104
94300,0,1,0,0,0,0,0,1,0,0,0,0,722,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
338250,1,0,0,0,0,0,0,1,0,0,0,0,1611,6,1,1,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
167994.9375,0,1,0,0,0,0,0,1,0,0,0,0,1100,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
393984.375,1,0,0,0,0,0,0,1,0,0,0,0,2319,8,2,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430500,1,0,0,0,0,0,0,1,0,0,0,0,3400,8,2,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
300452.4844,1,0,0,0,0,0,0,1,0,0,0,0,1645,8,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
374219.4922,1,0,0,0,0,0,0,1,0,0,0,0,1300,8,2,0,0,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
360800,0,0,0,1,0,0,0,1,0,0,0,0,1600,7,2,1,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256299.9687,1,0,0,0,0,0,0,1,0,0,0,0,1072,6,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
577738.6875,1,0,0,0,0,0,0,1,0,0,0,0,2888,12,2,2,0,4,0,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
212175,0,1,0,0,0,0,0,1,0,0,0,0,1550,5,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
178606.25,1,0,0,0,0,0,1,0,0,0,0,0,2160,9,2,1,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459019.6,1,0,0,0,0,0,0,1,0,0,0,0,3149,10,2,1,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
657677.925,0,0,0,1,0,1,0,0,0,0,0,0,2392,8,2,2,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
639830.625,1,0,0,0,0,0,0,1,0,0,0,0,2493,9,2,1,0,4,0,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
123000,0,0,1,0,0,0,0,0,1,0,0,0,1300,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
