MLS #,Stat,Closed Date,Sold Pr,Type,Yr Blt,Street #,Str Name,Area,Zip,ASF,# Rms,# Full Baths,# Half Baths,Bsmt Bth,Beds,Bsmt. Beds,Garage Type,# Garage Spaces,# Parking Spaces,Total Bsmnt SF,Style
10540225,CLSD,11/25/2019,157000,1 Story,1962,3405,Ashley,25,60025,1175,6,2,0,No,3,0,Attached,1,2,,Ranch
10467240,CLSD,11/26/2019,160000,1 Story,1958,3430,Greenbriar,25,60025,0,6,1,0,No,3,0,,,2,,Ranch
10544411,CLSD,12/26/2019,176000,1 Story,UNK,904,GREENWOOD,25,60025,800,6,1,0,,2,0,Attached,1,,,Ranch
10393117,CLSD,4/23/2020,180000,1.5 Story,1955,3221,Crestwood,25,60025,1430,7,1,1,,3,0,Attached,2,,,Cape Cod
10533017,CLSD,12/30/2019,180000,1.5 Story,1960,2817,Harrison,25,60025,1872,7,1,1,No,3,0,Detached,2,,,Tri-Level
09832535,CLSD,12/27/2019,200000,Split Level,1953,632,Long,25,60025,0,7,1,0,No,3,0,Detached,2,,,
10510054,CLSD,12/20/2019,203700,1 Story,1961,512,Cherry,25,60025,1350,5,2,0,No,3,0,Attached,1,,,
10772716,CLSD,9/11/2020,205000,1 Story,1959,535,Short,25,60025,1300,6,1,1,No,3,0,Attached,1,,,
10430627,CLSD,8/29/2019,205000,Split Level,1964,528,Cherry,25,60025,1120,8,1,0,Yes,4,0,Detached,2,,,
10448962,CLSD,3/23/2020,206000,Split Level,1958,1022,Castle,25,60025,1104,6,1,1,No,3,0,Attached,1,1,,
10385377,CLSD,6/25/2019,210000,1 Story,1958,511,Hazelwood,25,60025,1409,7,1,1,No,3,0,Detached,1,,,
10785451,CLSD,9/4/2020,215000,1 Story,1957,1024,Huber,25,60025,1320,6,1,0,No,3,0,Attached,2,,,
10522299,CLSD,12/16/2019,216000,1 Story,1962,406,Cherry,25,60025,1060,6,1,0,No,3,0,Detached,2,3,,
10051465,CLSD,3/15/2019,220000,1 Story,1951,509,WARREN,25,60025,1432,4,1,0,No,2,0,Detached,2,,,Ranch
10758741,CLSD,8/10/2020,223000,1 Story,1956,4716,Laurel,25,60025,1206,6,2,0,No,3,0,,,2,,Bungalow
10361373,CLSD,6/14/2019,224900,1 Story,1922,72,Park,25,60025,2239,6,2,0,,3,0,,,4,,Ranch
10667197,CLSD,4/21/2020,225000,1 Story,1960,437,Poplar,25,60025,0,5,1,0,No,2,0,Attached,2,,,
10608376,CLSD,4/30/2020,225000,1 Story,1962,446,Elder,25,60025,1551,6,1,1,No,3,0,Attached,2,,,
10659098,CLSD,4/27/2020,225000,1 Story,1958,2749,Virginia,25,60025,2330,7,1,1,No,3,0,,,3,1165,Ranch
10344944,CLSD,9/4/2019,225000,1 Story,1956,318,Nora,25,60025,850,7,2,0,No,3,0,Detached,2,,,
10759681,CLSD,9/3/2020,227500,1 Story,1955,4526,Lilac,25,60025,1683,6,2,0,No,3,0,Attached,1,,,
